wid,total_judgments,gold_coverage,acc_exact_m1,within1_m1,mae_m1,majority_agreement,duration_median,very_fast_pct,rationale_empty_pct,stability_std,stability_min,worker_trust_score
wid#92,76,100.0,60.53,97.37,0.4342105263157895,76.92,16.0,2.63,0.0,0.040974326882950114,0.56,0.9366466456204546
wid#42,215,100.0,50.7,88.84,0.6139534883720931,68.48,146.0,0.0,0.0,0.054363665650320414,0.4444444444444444,0.9239146537992525
wid#59,55,100.0,47.27,92.73,0.6,77.08,1389.0,0.0,0.0,0.09610650457372104,0.3684210526315789,0.9183626718514203
wid#91,443,100.0,59.59,96.61,0.4401805869074492,78.38,43.0,0.0,0.0,0.16528726590931106,0.4391891891891892,0.8998705494713707
wid#70,356,100.0,50.56,89.33,0.6039325842696629,76.77,105.5,0.0,0.0,0.14387744169155608,0.35294117647058826,0.8817961711846739
wid#61,569,100.0,42.88,88.93,0.6836555360281195,71.67,74.0,0.0,0.0,0.06902957821552604,0.3492063492063492,0.8774070629705755
wid#41,51,100.0,41.18,82.35,0.803921568627451,72.73,1307.0,0.0,0.0,0.058823529411764684,0.35294117647058826,0.851912506524946
wid#24,1532,100.0,44.13,88.9,0.6781984334203656,60.97,19.0,0.78,0.0,0.05693136851840284,0.37573385518590996,0.8478144785539591
wid#39,46,100.0,47.83,86.96,0.6739130434782609,75.61,592.5,0.0,0.0,0.14601179556612692,0.3333333333333333,0.8466208253110686
wid#2,1504,100.0,39.76,81.25,0.7958776595744681,67.99,78.0,0.0,0.0,0.03907430502562492,0.3532934131736527,0.8420251475442251
wid#8,874,100.0,42.79,84.78,0.7528604118993135,65.22,695.0,0.0,0.0,0.08470486870518026,0.3642611683848797,0.8289235290160524
wid#23,55,100.0,47.27,90.91,0.6363636363636364,66.67,570.0,0.0,0.0,0.13842901191096293,0.3157894736842105,0.8272737068163281
wid#0,1486,100.0,40.65,86.81,0.7442799461641992,67.99,83.0,0.0,0.0,0.10656350838170912,0.298989898989899,0.8032443287937421
wid#3,480,100.0,34.79,70.83,0.9458333333333333,73.15,32.0,0.21,0.0,0.023662118107501132,0.33125,0.799457430416324
wid#13,655,100.0,41.22,79.69,0.8412213740458016,66.14,70.0,0.15,0.0,0.07833513422847437,0.3440366972477064,0.7987042375540258
wid#40,112,100.0,41.07,86.61,0.7232142857142857,81.52,36.0,0.89,0.0,0.14795792614074088,0.24324324324324326,0.78856363202677
wid#14,705,100.0,30.07,91.91,0.7815602836879433,56.18,32.0,0.14,0.0,0.020990990903473387,0.2765957446808511,0.7837289153915414
wid#20,1128,100.0,33.69,76.06,0.9273049645390071,73.53,29.0,0.09,0.0,0.06987817871964026,0.29521276595744683,0.7726810863818736
wid#7,353,100.0,33.14,77.34,0.9745042492917847,64.69,178.0,0.0,0.0,0.027893135560588197,0.29914529914529914,0.7674698643673843
wid#27,309,100.0,32.69,84.79,0.8705501618122977,63.45,155.0,0.0,0.0,0.05852149294506511,0.27184466019417475,0.7646574489386974
wid#4,1028,100.0,32.52,77.22,0.9542356377799416,70.75,154.0,0.0,0.0,0.054542467285632515,0.26239067055393583,0.7600390710121726
wid#69,336,100.0,32.44,74.4,0.9702380952380952,71.43,36.0,0.0,0.0,0.05077000627747611,0.26785714285714285,0.7572278528649312
wid#38,66,100.0,36.36,86.36,0.7727272727272727,74.58,142.5,0.0,0.0,0.16388869433927222,0.22727272727272727,0.7476764052514785
wid#19,900,100.0,32.33,81.33,0.8633333333333333,63.37,32.5,0.0,0.0,0.07211102550927978,0.2633333333333333,0.7434857556264225
wid#29,167,100.0,34.73,85.63,0.8023952095808383,57.46,42.0,0.0,0.0,0.09352978906544501,0.25,0.7299895556163585
wid#25,23,100.0,39.13,86.96,0.782608695652174,64.71,70.0,0.0,0.0,0.16203163796209757,0.25,0.7297229876130001
wid#58,58,100.0,25.86,81.03,0.9310344827586207,70.73,872.0,0.0,0.0,0.10923430305535399,0.15,0.6797619996192256
wid#32,250,100.0,25.2,73.2,1.024,68.14,53.5,0.0,0.0,0.07393523789584612,0.20481927710843373,0.6775573851622808
wid#21,656,100.0,23.32,66.62,1.1509146341463414,64.46,662.0,0.0,0.0,0.015530014892272065,0.2237442922374429,0.6665631620954982
wid#71,455,100.0,32.75,78.46,0.9164835164835164,68.19,1131.0,0.0,0.0,0.1580715855317959,0.17880794701986755,0.6638403187948745
wid#6,896,100.0,44.75,87.39,0.6997767857142857,68.6,214.0,0.0,0.11,0.16553031566220663,0.30434782608695654,0.6625185217148026
wid#18,1737,100.0,27.35,76.57,0.9959700633275763,69.6,76.0,0.0,0.06,0.02227465989885217,0.24870466321243523,0.6251212449086617
wid#11,129,100.0,24.81,65.89,1.0930232558139534,77.32,90.0,0.0,0.0,0.1420953703862276,0.09302325581395349,0.6009668515452341
wid#103,98,100.0,33.67,77.55,0.9081632653061225,57.14,170.5,0.0,0.0,0.2165567384215274,0.15625,0.5851507918076939
wid#80,334,100.0,15.57,67.96,1.2125748502994012,58.24,58.5,0.0,0.0,0.027996938977424272,0.13513513513513514,0.5836880664153743
wid#97,28,100.0,28.57,100.0,0.7142857142857143,55.56,43.0,0.0,0.0,0.24478091321271564,0.0,0.5811452380376633
wid#50,79,100.0,31.65,63.29,1.0759493670886076,68.18,64.0,1.27,0.0,0.16391879284892186,0.15384615384615385,0.5697009845388094
wid#1,384,100.0,19.53,62.24,1.296875,62.96,103.0,0.0,0.0,0.06394806853025352,0.140625,0.5653897792002643
wid#106,29,100.0,27.59,58.62,1.1379310344827587,88.46,58.0,0.0,0.0,0.20377103264413216,0.1111111111111111,0.557470152672241
wid#149,27,100.0,33.33,81.48,0.8518518518518519,40.0,1142.0,0.0,3.7,0.1111111111111111,0.2222222222222222,0.517057589839925
wid#102,22,100.0,27.27,54.55,1.3636363636363635,64.71,36.0,0.0,0.0,0.14433756729740643,0.14285714285714285,0.5146557949410814
wid#17,1795,100.0,18.16,66.85,1.1515320334261838,66.57,14.0,17.83,0.0,0.03012397896727453,0.15859766277128548,0.5073985194747546
wid#79,52,100.0,26.92,84.62,0.8846153846153846,73.47,10.0,46.15,0.0,0.22492113473947403,0.11764705882352941,0.5063798450087111
wid#95,27,100.0,18.52,74.07,1.0740740740740742,60.87,77.0,0.0,0.0,0.1697250257391052,0.0,0.49793668041694583
wid#5,949,100.0,24.97,55.11,1.3530031612223392,60.39,54.0,0.0,0.0,0.15128444237484642,0.12974683544303797,0.4859622139454689
wid#16,824,100.0,12.99,50.0,1.5109223300970873,58.23,30.0,0.0,0.0,0.028473439748789374,0.09818181818181818,0.48012195815730424
wid#60,203,100.0,17.24,49.26,1.4975369458128078,61.18,69.0,0.0,0.0,0.07599971975259343,0.10294117647058823,0.4734373272297484
wid#150,21,100.0,4.76,38.1,1.7619047619047619,82.35,69.0,0.0,0.0,0.08247860988423225,0.0,0.4593303954928368
wid#101,139,100.0,19.42,54.68,1.4964028776978417,50.93,2298.0,0.0,0.0,0.10063434052022814,0.10638297872340426,0.442194810716864
wid#100,30,100.0,16.67,53.33,1.4666666666666666,37.04,790.5,0.0,0.0,0.05773502691896257,0.1,0.43779414339995204
wid#28,106,100.0,9.43,50.0,1.471698113207547,49.35,139.0,0.0,0.0,0.04434039218104403,0.05555555555555555,0.422352152191907
wid#49,307,100.0,23.45,60.91,1.241042345276873,63.92,11.0,33.22,0.0,0.12569419344325236,0.10784313725490197,0.40803039738691815
wid#15,1010,100.0,7.92,27.62,1.9811881188118812,40.65,18.0,0.89,0.0,0.015085247135668394,0.06528189910979229,0.38151232367641263
wid#26,26,100.0,11.54,30.77,1.9230769230769231,46.67,42.0,0.0,0.0,0.1111111111111111,0.0,0.3249936189113637
